NR_046018.2	DDX11L1
NM_001204185.1	TP73
NM_001204184.1	TP73
NM_005427.3	TP73
NM_001204189.1	TP73
NM_001204191.1	TP73
NM_001204190.1	TP73
NM_001126242.2	TP73
NM_001126241.2	TP73
NM_001126240.2	TP73
NM_001204192.1	TP73
NR_033712.1	TP73-AS1
NR_033708.1	TP73-AS1
NR_033711.1	TP73-AS1
NR_033710.1	TP73-AS1
NR_033709.1	TP73-AS1
NM_152492.2	CCDC27
NM_001288583.1	SMIM1
NM_001163724.2	SMIM1
NM_020710.2	LRRC47
NM_014704.3	CEP104
NM_004402.3	DFFB
NR_135150.1	DFFB
NM_001320136.1	DFFB
NM_001320132.1	DFFB
NR_135151.1	DFFB
NR_135152.1	DFFB
NR_104222.1	DFFB
NM_001282669.1	DFFB
NM_207356.2	C1orf174
NR_024455.1	LINC01134
NR_040065.1	LINC01346
NR_027088.1	LINC01777
NM_001042478.1	AJAP1
NM_018836.3	AJAP1
NR_039612.1	MIR4417
NR_039838.1	MIR4689
NM_015102.4	NPHP4
NR_111987.1	NPHP4
NM_001291593.1	NPHP4
NM_001291594.1	NPHP4
NM_001199861.1	KCNAB2
NM_172130.2	KCNAB2
NM_003636.3	KCNAB2
NM_001199860.1	KCNAB2
NM_001199862.1	KCNAB2
NM_001199863.1	KCNAB2
NM_015557.2	CHD5
NM_000983.3	RPL22
NR_125997.1	LOC102724450
NM_207396.2	RNF207
NM_012405.3	ICMT
NR_103534.1	LINC00337
NM_001024598.3	HES3
NM_207370.2	GPR153
NM_181866.2	ACOT7
NM_181865.2	ACOT7
NM_181864.2	ACOT7
NM_007274.3	ACOT7
NM_019089.4	HES2
NM_031475.2	ESPN
NR_036218.1	MIR4252
NM_148965.1	TNFRSF25
NM_003790.2	TNFRSF25
NM_148966.1	TNFRSF25
NM_148967.1	TNFRSF25
NM_148970.1	TNFRSF25
NM_001039664.1	TNFRSF25
NM_001265593.1	PLEKHG5
NM_001042665.1	PLEKHG5
NM_001042664.1	PLEKHG5
NM_001265594.1	PLEKHG5
NM_020631.4	PLEKHG5
NM_001265592.1	PLEKHG5
NM_001042663.1	PLEKHG5
NM_198681.3	PLEKHG5
NM_024654.4	NOL9
NM_177540.2	TAS1R1
NM_138697.3	TAS1R1
NM_001278647.1	ZBTB48
NM_001278648.1	ZBTB48
NM_005341.3	ZBTB48
NM_001324309.1	KLHL21
NM_014851.3	KLHL21
NM_153812.2	PHF13
NM_001195753.1	THAP3
NM_001195752.1	THAP3
NM_138350.3	THAP3
NM_018198.3	DNAJC11
NR_104620.1	LINC01672
NR_104621.1	LINC01672
NM_001195563.1	CAMTA1
NR_038934.1	CAMTA1
NM_001242701.1	CAMTA1
NM_015215.3	CAMTA1
NM_004781.3	VAMP3
NM_016831.2	PER3
NM_001289864.1	PER3
NM_001289863.1	PER3
NM_001289861.1	PER3
NM_001289862.1	PER3
NM_006786.3	UTS2
NM_021995.2	UTS2
NM_001561.5	TNFRSF9
NM_001123377.1	PARK7
NM_007262.4	PARK7
NM_018948.3	ERRFI1
NR_125998.1	LINC01714
NM_001080397.2	SLC45A1
NM_001042682.1	RERE
NM_012102.3	RERE
NM_001042681.1	RERE
NR_125999.1	LOC102724552
NR_132752.1	SNORD128
NM_001201483.1	ENO1
NM_001428.3	ENO1
NR_106786.1	MIR6728
NR_038351.1	ENO1-AS1
NM_001270500.1	CA6
NM_001270502.1	CA6
NM_001270501.1	CA6
NM_001215.3	CA6
NM_207420.2	SLC2A7
NM_003039.2	SLC2A5
NM_001328620.1	SLC2A5
NM_001328621.1	SLC2A5
NM_001328619.1	SLC2A5
NM_001135585.1	SLC2A5
NM_024980.4	GPR157
NR_132742.1	MIR34AHG
NR_029610.1	MIR34A
NR_132738.1	LINC01759
NM_004285.3	H6PD
NM_001282587.1	H6PD
NM_025106.3	SPSB1
NR_104623.2	LOC100506022
NR_104622.2	LOC100506022
NM_032315.2	SLC25A33
NM_001010866.3	TMEM201
NM_001130924.2	TMEM201
NM_005026.3	PIK3CD
NR_027045.1	PIK3CD-AS1
NR_126366.1	PIK3CD-AS2
NR_126367.1	PIK3CD-AS2
NR_126368.1	PIK3CD-AS2
NM_001009566.2	CLSTN1
NM_001302883.1	CLSTN1
NM_014944.4	CLSTN1
NM_020248.2	CTNNBIP1
NM_001012329.1	CTNNBIP1
NM_001316975.1	LZIC
NM_032368.4	LZIC
NM_001316973.1	LZIC
NM_001316976.1	LZIC
NM_001316974.1	LZIC
NM_001297778.1	NMNAT1
NM_001297779.1	NMNAT1
NM_022787.3	NMNAT1
NR_049882.1	MIR5697
NM_052960.2	RBP7
NR_138250.1	RBP7
NM_006048.4	UBE4B
NM_001105562.2	UBE4B
NM_183416.3	KIF1B
NM_015074.3	KIF1B
NR_036176.1	MIR1273D
NM_001304451.1	PGD
NM_002631.3	PGD
NM_001304452.1	PGD
NM_199294.2	CENPS
NM_199006.2	APITD1-CORT
NM_198544.3	APITD1-CORT
NM_001270517.1	APITD1-CORT
NR_036462.1	CENPS
NR_037187.1	APITD1-CORT
NM_001243768.1	APITD1-CORT
NM_001302.4	CORT
NM_213566.1	DFFA
NM_004401.2	DFFA
NM_004565.2	PEX14
NM_001079843.2	CASZ1
NM_017766.4	CASZ1
NM_001170754.1	C1orf127
NM_007375.3	TARDBP
NM_006610.3	MASP2
NM_139208.2	MASP2
NM_003132.2	SRM
NM_001001998.2	EXOSC10
NM_002685.3	EXOSC10
NR_135062.1	LOC105376736
NR_135061.1	LOC105376736
NR_135063.1	LOC105376736
NM_004958.3	MTOR
NR_046600.1	MTOR-AS1
NM_021146.3	ANGPTL7
NM_013319.2	UBIAD1
NM_001330350.1	UBIAD1
NM_001330349.1	UBIAD1
NM_020780.1	DISP3
NR_104624.1	LINC01647
NM_012168.5	FBXO2
NM_183412.2	FBXO44
NM_001304791.1	FBXO44
NR_130909.1	FBXO44
NM_183413.2	FBXO44
NM_001330355.1	FBXO44
NM_033182.5	FBXO44
NM_001304790.1	FBXO44
NM_001014765.1	FBXO44
NM_018438.5	FBXO6
NM_006341.3	MAD2L2
NM_001127325.1	MAD2L2
NM_198545.3	DRAXIN
NM_001040195.1	AGTRAP
NM_001040194.1	AGTRAP
NM_020350.4	AGTRAP
NM_001040196.1	AGTRAP
NM_001040197.1	AGTRAP
NM_001010881.1	C1orf167
NR_126000.1	LOC102724659
NM_001330358.1	MTHFR
NM_005957.4	MTHFR
NM_001256959.1	CLCN6
NM_001286.3	CLCN6
NR_046428.1	CLCN6
NR_037806.1	NPPA-AS1
NM_006172.3	NPPA
NM_002521.2	NPPB
NR_002754.2	RNU5E-1
NM_138346.2	KIAA2013
NM_000302.3	PLOD1
NM_001316320.1	PLOD1
NM_001127660.1	MFN2
NM_014874.3	MFN2
NM_021933.3	MIIP
NR_106787.1	MIR6729
NM_001281430.2	TNFRSF8
NM_001243.4	TNFRSF8
NR_107000.1	MIR7846
NM_001066.2	TNFRSF1B
NR_039775.2	MIR4632
NM_018156.3	VPS13D
NM_015378.3	VPS13D
NR_003025.1	SNORA59A
NM_001324370.1	DHRS3
NM_001319225.1	DHRS3
NM_004753.6	DHRS3
NR_106788.2	MIR6730
NM_001013630.1	AADACL4
NR_111984.1	AADACL3
NM_001103170.2	AADACL3
NM_001330361.1	C1orf158
NM_152290.3	C1orf158
NM_001080830.4	PRAMEF12
NM_023013.4	PRAMEF1
NM_001294139.1	PRAMEF1
NM_001146344.2	PRAMEF11
NM_001013631.2	HNRNPCL1
NM_023014.1	PRAMEF2
NM_001009611.4	PRAMEF4
NM_001039361.4	PRAMEF10
NM_001012277.4	PRAMEF7
NM_001010889.2	PRAMEF6
NM_001099850.2	PRAMEF18
NR_111947.1	PRAMEF34P
NM_001136561.3	HNRNPCL2
NR_111945.1	PRAMEF36P
NM_001310134.1	PRAMEF25
NM_001013407.2	PRAMEF5
NM_001291381.1	PRAMEF33P
NM_001291380.1	PRAMEF13
NM_001012276.3	PRAMEF8
NM_001098376.2	PRAMEF15
NM_001024661.2	PRAMEF14
NM_001099790.2	PRAMEF19
NM_001099851.3	PRAMEF17
NM_001099852.2	PRAMEF20
NM_001010847.1	LRRC38
NM_198389.2	PDPN
NM_006474.4	PDPN
NM_001006625.1	PDPN
NM_001006624.1	PDPN
NM_001135610.1	PRDM2
NM_015866.4	PRDM2
NM_012231.4	PRDM2
NM_001007257.2	PRDM2
NM_015209.2	KAZN
NM_201628.2	KAZN
NM_001018000.3	KAZN
NM_001018001.2	KAZN
NM_001017999.2	KAZN
NR_027136.1	TMEM51-AS1
NM_001136217.1	TMEM51
NM_001136216.1	TMEM51
NR_135082.1	TMEM51
NM_001319665.1	TMEM51
NM_018022.2	TMEM51
NM_001136218.1	TMEM51
NM_001278502.1	C1orf195
NM_001278501.1	C1orf195
NM_052929.1	FHAD1
NM_024329.5	EFHD2
NM_007272.2	CTRC
NM_033440.2	CELA2A
NM_015849.2	CELA2B
NR_102732.1	CASP9
NM_001229.4	CASP9
NM_001278054.1	CASP9
NR_102733.1	CASP9
NM_032996.3	CASP9
NM_001287811.1	DNAJC16
NM_015291.3	DNAJC16
NR_109898.1	DNAJC16
NM_024758.4	AGMAT
NM_032341.4	DDI2
NM_006511.2	RSC1A1
NM_015164.2	PLEKHM2
NM_207348.2	SLC25A34
NM_001013641.2	TMEM82
NM_017556.2	FBLIM1
NM_001024215.1	FBLIM1
NM_001024216.1	FBLIM1
NM_001089591.1	UQCRHL
NR_024279.1	FLJ37453
NM_015001.2	SPEN
NM_001287603.1	ZBTB17
NM_003443.2	ZBTB17
NM_001324138.1	ZBTB17
NM_001287604.1	ZBTB17
NM_001242884.1	ZBTB17
NM_001324137.1	ZBTB17
NM_178840.3	C1orf64
NM_014424.4	HSPB7
NM_001257139.1	CLCNKA
NM_001042704.1	CLCNKA
NM_004070.3	CLCNKA
NM_000085.4	CLCNKB
NM_001165945.2	CLCNKB
NM_182623.2	FAM131C
NM_004431.4	EPHA2
NM_001329090.1	EPHA2
NM_153213.4	ARHGEF19
NM_030907.3	RSG1
NM_018994.2	FBXO42
NR_073500.1	SZRD1
NR_073503.1	SZRD1
NR_073502.1	SZRD1
NM_001271869.1	SZRD1
NM_001114600.2	SZRD1
NR_073501.1	SZRD1
NM_198546.1	SPATA21
NM_001145278.1	NECAP2
NM_001145277.1	NECAP2
NM_018090.4	NECAP2
NR_023386.1	CROCCP3
NR_004430.2	RNU1-1
NR_135764.1	LINC01783
NM_001310155.1	FAM231B
NM_017940.4	NBPF1
NR_026752.1	CROCCP2
NR_027504.1	MST1P2
NR_004408.1	RNU1-3
NM_001282321.1	FAM231A
NR_026567.1	ESPNP
NR_004421.1	RNU1-4
NM_001271733.1	MST1L
NR_135824.1	LOC102724562
NR_037446.1	MIR3675
NR_135056.1	LOC105376805
NR_135057.1	LOC105376805
NR_135058.1	LOC105376805
NR_135059.1	LOC105376805
NR_004427.1	RNU1-2
NM_014675.4	CROCC
NM_002403.3	MFAP2
NM_001135248.1	MFAP2
NM_017459.2	MFAP2
NM_001135247.1	MFAP2
NM_022089.3	ATP13A2
NM_001141973.2	ATP13A2
NM_001141974.2	ATP13A2
NM_003000.2	SDHB
NM_007365.2	PADI2
NM_013358.2	PADI1
NM_016233.2	PADI3
NR_039768.1	MIR3972
NM_012387.2	PADI4
NM_207421.4	PADI6
NM_001136204.2	RCC2
NM_018715.3	RCC2
NR_137288.1	ARHGEF10L
NR_137287.1	ARHGEF10L
NM_018125.3	ARHGEF10L
NM_001319837.1	ARHGEF10L
NM_001011722.2	ARHGEF10L
NM_001328124.1	ARHGEF10L
NM_001319838.1	ARHGEF10L
NM_030812.2	ACTL8
NR_125946.1	LINC01654
NM_032880.4	IGSF21
NM_152375.2	KLHDC7A
NM_013945.2	PAX7
NM_002584.2	PAX7
NM_001135254.1	PAX7
NM_152232.2	TAS1R2
NM_001161504.1	ALDH4A1
NM_003748.3	ALDH4A1
NM_170726.2	ALDH4A1
NM_001319218.1	ALDH4A1
NR_039844.2	MIR4695
NR_031622.1	MIR1290
NM_001136265.1	IFFO2
NM_020765.2	UBR4
NR_135115.1	LOC101927895
NR_135114.1	LOC101927895
NM_015047.2	EMC1
NM_001271428.1	EMC1
NM_001271427.1	EMC1
NM_001271429.1	EMC1
NM_016183.3	MRTO4
NR_040288.1	AKR7L
NR_040289.1	AKR7L
NM_012067.2	AKR7A3
NR_037847.1	LOC100506730
NM_003689.3	AKR7A2
NM_001320979.1	AKR7A2
NM_001287531.1	PQLC2
NM_001040126.1	PQLC2
NM_017765.2	PQLC2
NM_001040125.1	PQLC2
NR_109848.1	PQLC2
NM_001282162.1	CAPZB
NM_001206541.2	CAPZB
NM_001206540.2	CAPZB
NM_004930.4	CAPZB
NM_001313932.1	CAPZB
NR_135054.1	LOC105378614
NM_001204082.1	MINOS1
NM_001032363.3	MINOS1
NM_001204083.1	MINOS1
NR_033758.2	MINOS1
NR_033757.2	MINOS1
NM_001204089.1	MINOS1-NBL1
NM_001204088.1	MINOS1-NBL1
NR_077246.1	RPS14P3
NM_001278164.1	NBL1
NM_182744.3	NBL1
NM_001278165.1	NBL1
NM_001204084.2	NBL1
NM_005380.7	NBL1
NM_001204085.1	NBL1
NM_001204086.2	NBL1
NM_001278166.1	NBL1
NM_000871.2	HTR6
NM_181719.4	TMCO4
NM_019062.1	RNF186
NM_015207.1	OTUD3
NM_014589.2	PLA2G2E
NM_001161729.1	PLA2G2A
NM_000300.3	PLA2G2A
NM_001161727.1	PLA2G2A
NM_001161728.1	PLA2G2A
NM_000929.2	PLA2G5
NM_012400.3	PLA2G2D
NM_001271814.1	PLA2G2D
NM_022819.3	PLA2G2F
NM_001316722.1	PLA2G2C
NR_110078.1	UBXN10-AS1
NM_152376.4	UBXN10
NM_001039500.2	VWA5B1
NR_033887.1	LINC01141
NM_018584.5	CAMK2N1
NM_024544.2	MUL1
NM_207334.2	FAM43B
NM_001785.2	CDA
NM_032409.2	PINK1
NR_106732.1	MIR6084
NR_046507.1	PINK1-AS
NM_005216.4	DDOST
NM_001287212.1	KIF17
NM_020816.3	KIF17
NM_001122819.2	KIF17
NM_001103161.1	SH2D5
NM_001103160.1	SH2D5
NM_016287.3	HP1BP3
NM_003760.4	EIF4G3
NM_001198802.1	EIF4G3
NM_001198801.1	EIF4G3
NM_001198803.2	EIF4G3
NR_031657.1	MIR1256
NM_001113347.1	ECE1
NM_001113349.1	ECE1
NM_001397.2	ECE1
NM_001113348.1	ECE1
NR_038404.1	LOC100506801
NM_001256417.2	NBPF3
NM_032264.4	NBPF3
NM_001256416.2	NBPF3
NR_046176.2	NBPF3
NM_001330381.1	NBPF3
NM_001177520.2	ALPL
NM_001127501.3	ALPL
NM_000478.5	ALPL
NM_001145658.1	RAP1GAP
NM_001330383.1	RAP1GAP
NM_001145657.1	RAP1GAP
NM_002885.2	RAP1GAP
NM_032236.6	USP48
NM_001330394.1	USP48
NM_001032730.1	USP48
NM_001013693.2	LDLRAD2
NM_001291860.1	HSPG2
NM_005529.6	HSPG2
NM_007352.3	CELA3B
NM_005747.4	CELA3A
NR_110692.1	LINC01635
NR_023918.2	LINC00339
NR_109759.1	LINC00339
NR_109761.1	LINC00339
NR_109760.1	LINC00339
NR_023919.2	LINC00339
NR_109762.1	LINC00339
NM_044472.2	CDC42
NM_001791.3	CDC42
NM_001039802.1	CDC42
NM_030761.4	WNT4
NR_039613.1	MIR4418
NM_001330398.1	ZBTB40
NM_014870.3	ZBTB40
NM_001083621.1	ZBTB40
NM_001006943.2	EPHA8
NM_020526.4	EPHA8
NR_106742.1	MIR6127
NM_015991.3	C1QA
NM_001347465.1	C1QA
NM_001347466.1	C1QA
NM_001347620.1	C1QC
NM_172369.4	C1QC
NM_001114101.2	C1QC
NM_001347619.1	C1QC
NM_000491.4	C1QB
NM_001309192.1	EPHB2
NM_001309193.1	EPHB2
NM_017449.4	EPHB2
NM_004442.7	EPHB2
NR_039832.1	MIR4684
NR_036214.1	MIR4253
NM_001289974.1	LACTBL1
NM_001242521.1	C1orf234
NM_015013.3	KDM1A
NM_001009999.2	KDM1A
NR_036057.1	MIR3115
NR_039614.1	MIR4419A
NM_033631.3	LUZP1
NM_001142546.1	LUZP1
NM_000864.4	HTR1D
NR_110616.1	LINC01355
NM_001102398.2	HNRNPR
NM_005826.4	HNRNPR
NM_001297620.1	HNRNPR
NM_001102399.2	HNRNPR
NM_001102397.2	HNRNPR
NM_001297621.1	HNRNPR
NM_001297622.1	HNRNPR
NM_030634.2	ZNF436
NM_001077195.1	ZNF436
NR_033690.1	ZNF436-AS1
NR_033691.1	ZNF436-AS1
NM_003196.2	TCEA3
NM_017707.3	ASAP3
NM_001143778.1	ASAP3
NM_004091.3	E2F2
NR_110799.1	LOC101928163
NM_002167.4	ID3
NM_001348075.1	MDS2
NM_001199802.1	RPL11
NM_000975.3	RPL11
NM_003198.2	ELOA
NR_038280.1	ELOA-AS1
NM_020362.4	PITHD1
NM_007260.2	LYPLA2
NM_001127621.1	GALE
NM_000403.3	GALE
NM_001008216.1	GALE
NM_000191.2	HMGCL
NM_001166059.1	HMGCL
NM_000147.4	FUCA1
NM_001841.2	CNR2
NR_039615.1	MIR378F
NM_017761.3	PNRC2
NR_034035.2	SRSF10
NM_054016.3	SRSF10
NM_001300937.1	SRSF10
NM_001191006.2	SRSF10
NM_006625.5	SRSF10
NM_001191005.2	SRSF10
NM_001300936.1	SRSF10
NM_001191007.2	SRSF10
NM_001191009.2	SRSF10
NM_152372.3	MYOM3
NM_021258.3	IL22RA1
NM_170743.3	IFNLR1
NM_173064.2	IFNLR1
NM_173065.2	IFNLR1
NR_027087.2	LOC284632
NM_198173.2	GRHL3
NM_198174.2	GRHL3
NM_001195010.1	GRHL3
NM_021180.3	GRHL3
NM_001199014.1	STPG1
NM_001199013.1	STPG1
NM_178122.4	STPG1
NM_001199012.1	STPG1
NM_001322854.1	NIPAL3
NM_001322865.1	NIPAL3
NM_001330409.1	NIPAL3
NM_001322861.1	NIPAL3
NM_001322864.1	NIPAL3
NM_001322866.1	NIPAL3
NR_136507.1	NIPAL3
NM_001322860.1	NIPAL3
NM_001322859.1	NIPAL3
NR_136506.1	NIPAL3
NR_136508.1	NIPAL3
NM_001322868.1	NIPAL3
NM_001322858.1	NIPAL3
NM_001322863.1	NIPAL3
NM_001322862.1	NIPAL3
NM_001322856.1	NIPAL3
NM_001322855.1	NIPAL3
NM_020448.4	NIPAL3
NM_001322857.1	NIPAL3
NR_045408.2	RCAN3AS
NR_045407.2	RCAN3AS
NR_045409.2	RCAN3AS
NR_144360.1	RCAN3AS
NM_001251984.1	RCAN3
NM_001251979.1	RCAN3
NM_001251981.1	RCAN3
NM_001251977.1	RCAN3
NM_001251983.1	RCAN3
NM_013441.3	RCAN3
NM_001251978.1	RCAN3
NM_001251985.1	RCAN3
NM_001251982.1	RCAN3
NM_001251980.1	RCAN3
NR_109781.1	LOC100506985
NM_001010980.4	NCMAP
NM_001303448.1	SRRM1
NM_005839.3	SRRM1
NM_001303449.1	SRRM1
NM_013943.2	CLIC4
NM_004350.2	RUNX3
NM_001031680.2	RUNX3
NM_001320672.1	RUNX3
NR_106789.1	MIR6731
NR_039623.1	MIR4425
NM_015484.4	SYF2
NM_207170.3	SYF2
NR_135143.1	RSRP1
NR_135784.1	RSRP1
NR_135786.1	RSRP1
NR_135780.1	RSRP1
NR_135778.1	RSRP1
NR_135782.1	RSRP1
NR_135781.1	RSRP1
NR_135783.1	RSRP1
NR_135144.1	RSRP1
NR_135785.1	RSRP1
NM_020317.4	RSRP1
NR_135777.1	RSRP1
NR_135789.1	RSRP1
NR_135787.1	RSRP1
NM_001321772.1	RSRP1
NR_135788.1	RSRP1
NM_001282867.1	RHD
NM_001127691.2	RHD
NM_001282868.1	RHD
NM_001282869.1	RHD
NM_001282870.1	RHD
NM_016124.4	RHD
NM_001282871.1	RHD
NM_001282872.1	RHD
NR_135790.1	RSRP1
NR_135791.1	RSRP1
NR_135793.1	RSRP1
NR_135792.1	RSRP1
NM_014313.3	TMEM50A
NM_020485.4	RHCE
NM_001330430.1	RHCE
NM_138618.3	RHCE
NM_138617.3	RHCE
NM_138616.3	RHCE
NM_001282564.1	TMEM57
NM_018202.5	TMEM57
NM_015627.2	LDLRAP1
NM_001289010.1	MAN1C1
NM_020379.3	MAN1C1
NM_206926.1	SELENON
NM_020451.2	SELENON
NM_001099627.1	MTFR1L
NM_001099625.1	MTFR1L
NR_024498.1	LOC646471
NM_019557.5	MTFR1L
NM_001099626.1	MTFR1L
NM_001287490.1	AUNIP
NM_024037.2	AUNIP
NM_178422.5	PAQR7
NM_001145454.2	STMN1
NM_203401.1	STMN1
NM_005563.3	STMN1
NM_203399.1	STMN1
NR_037481.1	MIR3917
NM_000437.3	PAFAH2
NM_004455.2	EXTL1
NM_001004434.2	SLC30A2
NM_032513.4	SLC30A2
NM_032588.3	TRIM63
NM_001243532.1	PDIK1L
NM_152835.4	PDIK1L
NM_001243533.1	PDIK1L
NM_024869.2	FAM110D
NM_015871.4	ZNF593
NM_001297648.1	CNKSR1
NM_006314.2	CNKSR1
NM_001297647.1	CNKSR1
NM_198137.1	CATSPER4
NR_110698.1	LOC101928303
NM_001281517.2	CEP85
NM_001319944.1	CEP85
NM_022778.4	CEP85
NM_001281518.2	CEP85
NM_031286.3	SH3BGRL3
NM_183008.2	UBXN11
NM_001077262.1	UBXN11
NM_145345.2	UBXN11
NM_001803.2	CD52
NM_001039775.3	AIM1L
NM_001114759.2	ZNF683
NM_001307925.1	ZNF683
NM_173574.3	ZNF683
NM_024674.5	LIN28A
NM_001243565.1	DHDDS
NM_001243564.1	DHDDS
NM_205861.2	DHDDS
NM_024887.3	DHDDS
NM_001319959.1	DHDDS
NR_125952.1	LOC101928324
NR_125953.1	LOC101928324
NM_005517.3	HMGN2
NM_002953.3	RPS6KA1
NM_001330441.1	RPS6KA1
NM_001006665.1	RPS6KA1
NR_031740.1	MIR1976
NR_135804.1	LOC101928728
